الله (ar)	Allah (tr)	1382	0.7430107526881721
ۚ (ar)	ve (tr)	642	0.41620745542949755
ۖ (ar)	ve (tr)	537	0.36580381471389645
الله (ar)	Allah'ın (tr)	399	0.32294617563739375
إن (ar)	ki (tr)	341	0.40813883901855175
إلا (ar)	ancak (tr)	284	0.605543710021322
قل (ar)	De ki (tr)	251	0.9313543599257885
من (ar)	bir (tr)	248	0.32481990831696134
ۗ (ar)	ve (tr)	240	0.2112676056338028
قال (ar)	dedi (tr)	210	0.6334841628959276
والله (ar)	Allah (tr)	188	0.19371458011334364
ثم (ar)	sonra (tr)	154	0.48503937007874015
أو (ar)	yahut (tr)	153	0.7846153846153846
ولا (ar)	ne (tr)	142	0.3124312431243124
ۚ (ar)	yok (tr)	139	0.17900837089504185
كل (ar)	her (tr)	138	0.745945945945946
ما (ar)	ne (tr)	134	0.2377994676131322
يا أيها (ar)	Ey (tr)	133	0.7368421052631579
الله (ar)	Allah'tan (tr)	120	0.10914051841746249
لكم (ar)	size (tr)	119	0.44569288389513106
بعد (ar)	sonra (tr)	116	0.5345622119815668
الذي (ar)	ki (tr)	114	0.1958762886597938
قال (ar)	demişti (tr)	108	0.40298507462686567
إن (ar)	yok ki (tr)	104	0.21095334685598377
لهم (ar)	onlara (tr)	104	0.3649122807017544
أن (ar)	ki (tr)	101	0.1563467492260062
ثم (ar)	Sonra (tr)	99	0.45517241379310347
إلا (ar)	başka (tr)	96	0.2503259452411995
فيها (ar)	orada (tr)	93	0.5886075949367089
ومن (ar)	kim (tr)	92	0.46464646464646464
بالله (ar)	Allah (tr)	89	0.09710856519367157
في الأرض (ar)	yeryüzünde (tr)	89	0.5874587458745875
وما (ar)	ne (tr)	84	0.17142857142857143
آمنوا (ar)	inananlar (tr)	84	0.5075528700906344
قالوا (ar)	dediler (tr)	83	0.4223918575063613
ربنا (ar)	Rabbimiz (tr)	82	0.8864864864864865
ۚ (ar)	de (tr)	82	0.09596255119953188
عليم (ar)	bilir (tr)	81	0.5418060200668896
ۖ (ar)	de (tr)	80	0.10256410256410256
ربك (ar)	Rabbin (tr)	78	0.50814332247557
الكتاب (ar)	kitap (tr)	78	0.616600790513834
ربك (ar)	Rabbinin (tr)	77	0.47678018575851394
ۖ (ar)	da (tr)	75	0.1055594651653765
هٰذا (ar)	bu (tr)	74	0.38341968911917096
إنه (ar)	yok ki (tr)	70	0.32710280373831774
عليهم (ar)	onlara (tr)	70	0.3056768558951965
مبين (ar)	apaçık (tr)	68	0.6126126126126126
وما (ar)	ve (tr)	68	0.058319039451114926
عذاب (ar)	azap (tr)	66	0.49624060150375937
يا (ar)	Ey (tr)	65	0.34574468085106386
قبل (ar)	önce (tr)	64	0.7529411764705882
له (ar)	ona (tr)	64	0.2794759825327511
ولا (ar)	ve (tr)	64	0.05661211853162318
وما (ar)	Ve (tr)	64	0.18181818181818182
السماوات (ar)	göklerde (tr)	59	0.4978902953586498
موسىٰ (ar)	Musa (tr)	57	0.6627906976744186
وهو (ar)	o (tr)	56	0.29708222811671087
من (ar)	de (tr)	55	0.06773399014778325
يا (ar)	ey (tr)	55	0.48672566371681414
قالوا (ar)	derler (tr)	54	0.289544235924933
القيامة (ar)	kıyamet (tr)	54	0.8059701492537313
رحيم (ar)	rahimdir (tr)	54	0.72
في (ar)	varsa (tr)	54	0.25
عليكم (ar)	size (tr)	52	0.2751322751322751
يوم (ar)	gün (tr)	52	0.3851851851851852
من الله (ar)	Allah'tan (tr)	51	0.41295546558704455
ۗ (ar)	yok (tr)	51	0.13783783783783785
ۚ (ar)	da (tr)	50	0.06369426751592357
رب (ar)	Rabbim (tr)	50	0.46296296296296297
ولقد (ar)	Ve ki (tr)	49	0.44954128440366975
من (ar)	ve (tr)	48	0.032
والأرض (ar)	yeryüzünü (tr)	48	0.42857142857142855
ۖ (ar)	yok (tr)	47	0.06695156695156695
وهم (ar)	onlar (tr)	47	0.27089337175792505
يوم (ar)	günü (tr)	47	0.39330543933054396
أليم (ar)	elemli (tr)	46	0.7931034482758621
علىٰ شيء (ar)	şeye (tr)	46	0.7931034482758621
عند (ar)	katında (tr)	46	0.6917293233082706
الناس (ar)	insanların (tr)	46	0.4444444444444444
أم (ar)	Yoksa (tr)	46	0.5897435897435898
إلا (ar)	Ancak (tr)	46	0.14556962025316456
ربي (ar)	Rabbim (tr)	46	0.4919786096256685
والأرض (ar)	yeryüzünün (tr)	44	0.43781094527363185
إنا (ar)	yok ki (tr)	44	0.20229885057471264
بل (ar)	Hayır (tr)	44	0.567741935483871
لا (ar)	ne (tr)	43	0.10831234256926953
يعلم (ar)	bilir (tr)	43	0.3333333333333333
ۖ (ar)	fakat (tr)	43	0.07356715141146279
السماوات (ar)	göklerin (tr)	42	0.3835616438356164
فإن (ar)	ki (tr)	42	0.07727690892364306
ذٰلك (ar)	bu (tr)	42	0.1838074398249453
الشيطان (ar)	Şeytan (tr)	41	0.7735849056603774
فرعون (ar)	Firavun (tr)	41	0.7387387387387387
ذٰلك (ar)	bunda (tr)	41	0.281786941580756
قوم (ar)	kavmim (tr)	41	0.5734265734265734
الصالحات (ar)	iyi (tr)	40	0.7207207207207207
خير (ar)	hayırlıdır (tr)	40	0.5673758865248227
به (ar)	ona (tr)	40	0.17094017094017094
لا (ar)	hiçbir (tr)	40	0.1839080459770115
لا (ar)	yoktur (tr)	40	0.22727272727272727
على (ar)	a (tr)	40	0.3883495145631068
إنما (ar)	ancak (tr)	39	0.16846652267818574
دون (ar)	başka (tr)	39	0.3157894736842105
إبراهيم (ar)	İbrahim (tr)	39	0.7572815533980582
عليه (ar)	ona (tr)	39	0.22807017543859648
غفور (ar)	örter (tr)	39	0.6341463414634146
الأنهار (ar)	ırmaklar (tr)	38	0.9156626506024096
العالمين (ar)	alemlerin (tr)	37	0.8043478260869565
في سبيل (ar)	yolunda (tr)	37	0.8505747126436781
الأرض (ar)	yeryüzünde (tr)	37	0.26334519572953735
الصلاة (ar)	namaz (tr)	36	0.7741935483870968
الناس (ar)	insanlar (tr)	36	0.36923076923076925
قالوا (ar)	demişlerdi (tr)	36	0.25622775800711745
ربكم (ar)	Rabbiniz (tr)	36	0.4931506849315068
ولا (ar)	hiçbir (tr)	36	0.13090909090909092
شيء (ar)	şeyi (tr)	36	0.3891891891891892
رب (ar)	Rabbi (tr)	36	0.4260355029585799
لقوم (ar)	topluluğa (tr)	36	0.72
إليك (ar)	sana (tr)	35	0.39106145251396646
من (ar)	kim (tr)	35	0.055776892430278883
إذا (ar)	zaman (tr)	35	0.32710280373831774
في (ar)	içinde (tr)	34	0.1708542713567839
إذ (ar)	Hani (tr)	34	0.35978835978835977
ربهم (ar)	Rablerinin (tr)	34	0.4657534246575342
أم (ar)	yoksa (tr)	34	0.4755244755244755
لله (ar)	Allah a (tr)	33	0.34554973821989526
ذٰلك (ar)	Bu (tr)	33	0.2082018927444795
من (ar)	da (tr)	33	0.044444444444444446
إنه (ar)	ki (tr)	33	0.05929919137466307
علينا (ar)	bize (tr)	33	0.4647887323943662
وما (ar)	hiçbir (tr)	33	0.10628019323671498
ربكم (ar)	Rabbinizden (tr)	33	0.4925373134328358
السماوات (ar)	gökleri (tr)	33	0.3113207547169811
ۖ (ar)	Fakat (tr)	32	0.057091882247992866
يشاء (ar)	dilediğini (tr)	32	0.46715328467153283
إذ (ar)	zaman (tr)	32	0.27586206896551724
منهم (ar)	onlardan (tr)	32	0.2794759825327511
من (ar)	ondan (tr)	32	0.05263157894736842
الدنيا (ar)	dünya (tr)	32	0.5423728813559322
عظيم (ar)	pek büyük (tr)	31	0.5794392523364486
والأرض (ar)	yeryüzünde (tr)	31	0.19435736677115986
لنا (ar)	bize (tr)	31	0.3875
هم (ar)	onlar (tr)	31	0.17464788732394365
به (ar)	onu (tr)	31	0.17415730337078653
للناس (ar)	insanlara (tr)	31	0.6019417475728155
القرآن (ar)	Kur'an (tr)	31	0.7126436781609196
ولٰكن (ar)	fakat (tr)	31	0.26956521739130435
هو (ar)	o (tr)	31	0.15308641975308643
الله (ar)	Allah'tır (tr)	31	0.03012633624878523
إني (ar)	ki ben (tr)	31	0.3974358974358974
فبأي (ar)	hangisini (tr)	31	0.9253731343283582
آلاء (ar)	nimetlerinden (tr)	31	0.9393939393939394
ربكما (ar)	Rabbinizin (tr)	31	0.7469879518072289
الحكيم (ar)	hikmet (tr)	30	0.4444444444444444
ما (ar)	şey (tr)	30	0.08941877794336811
لله (ar)	Allah (tr)	30	0.03302146395156852
يومئذ (ar)	o gün (tr)	30	0.5714285714285714
